Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. levator scapulae;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. transversi C1–C4 (Tubercula posteriora);Angulus superior und oberer Teil der Margo medialis scapulae;"Elevation und Abwärtsrotation der Scapula; ipsilaterale HWS-Beugung und -Rotation";Elevation · Innenrotation;Plexus cervicalis, N. dorsalis scapulae;C4, C5;Häufige Verspannungen, Torticollis;nein;;1;3;ja;M. levator scapulae;levator-scapulae;
M. pectoralis minor;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Ventrale Seite der 3.–5. Rippe;Proc. coracoideus der Scapula;"Senkt die Scapula und zieht sie nach vorn; bei fixiertem Schultergürtel inspiratorische Nebenfunktion";Depression · Protraktion;N. pectoralis medialis;C6, C7, C8, Th1;Verkürzung bei Rundrücken, Thoracic-Outlet-Syndrom;nein;;1;2;ja;M. pectoralis minor;pectoralis-minor;
M. rhomboideus major;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi Th1–Th4;Margo medialis scapulae;Retraktion, leichte Elevation und Abwärtsrotation der Scapula;Elevation · Retraktion · Innenrotation;N. dorsalis scapulae;C4, C5;Schwäche bei Skapula-Instabilität;nein;;1;1;ja;M. rhomboideus major;rhomboideus-major;
M. rhomboideus minor;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi C6–C7 und Lig. nuchae;Margo medialis scapulae;Retraktion, leichte Elevation und Abwärtsrotation der Scapula;Elevation · Retraktion · Innenrotation;N. dorsalis scapulae;C4, C5;Schwäche bei Skapula-Instabilität;nein;;1;1;ja;M. rhomboideus minor;rhomboideus-minor;
M. serratus anterior;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;"Pars superior: 1.–2. Rippe; Pars intermedia: 2.–3. Rippe; Pars inferior: 4.–9./10. Rippe";"Angulus superior (Pars superior); Margo medialis (Pars intermedia); Angulus inferior (Pars inferior)";"Protraktion und Stabilisierung der Scapula am Thorax; Pars inferior unterstützt die Aufwärtsrotation";Protraktion · Laterorotation;N. thoracicus longus;C5, C6, C7;Scapula alata bei Lähmung des N. thoracicus longus;nein;;2;2;ja;M. serratus anterior;serratus-anterior;
M. subclavius;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Oberseite der 1. Rippe;Unterseite der Clavicula, Extremitas acromialis;Stabilisiert und senkt die Clavicula;Depression der Clavicula;N. subclavius;C5, C6;Schutzfunktion für subclaviale Gefäße;nein;;2;1;ja;M. subclavius;subclavius;
M. trapezius – Pars ascendens;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi Th3–Th12;Laterales Drittel der Spina scapulae;"Senkung der Scapula; unterstützt die Aufwärtsrotation";Depression · Retraktion · Laterorotation;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Schwäche begünstigt Schulterhochstand;nein;;1;2;ja;M. trapezius – Pars ascendens;trapezius-pars-ascendens;
M. trapezius – Pars descendens;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Linea nuchae superior, Protuberantia occipitalis externa, Lig. nuchae C1–C6;Laterales Drittel der Clavicula, Akromion;"Hebt die Scapula und unterstützt die Aufwärtsrotation; unterstützt HWS-Bewegungen";Elevation · Laterorotation;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Verspannungen, Zervikalsyndrom, Triggerpunkte;nein;;1;2;ja;M. trapezius – Pars descendens;trapezius-pars-descendens;
M. trapezius – Pars transversa;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Unterer Teil des Lig. nuchae (C6–C7), Procc. spinosi Th1–Th3;Akromion, lateraler Teil der Spina scapulae;Retraktion der Scapula;Retraktion;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Schwäche führt zu Skapula-Protraktion;nein;;1;2;ja;M. trapezius – Pars transversa;trapezius-pars-transversa;
